iter	Passed	Remaining
0	2	290
1	8	436
2	14	461
3	16	404
4	20	388
5	23	372
6	27	361
7	30	349
8	34	349
9	37	340
10	42	343
11	45	337
12	49	329
13	52	325
14	57	325
15	60	318
16	64	313
17	66	304
18	69	295
19	72	291
20	76	286
21	79	281
22	82	275
23	85	270
24	88	265
25	91	259
26	94	254
27	96	248
28	99	243
29	102	238
30	105	233
31	108	231
32	111	227
33	114	222
34	116	216
35	119	211
36	121	207
37	125	204
38	127	200
39	130	195
40	132	191
41	136	188
42	139	185
43	142	181
44	144	177
45	147	173
46	149	168
47	152	165
48	155	161
49	158	158
50	160	154
51	163	150
52	165	147
53	168	143
54	171	139
55	173	136
56	176	133
57	178	129
58	181	126
59	184	122
60	186	119
61	189	116
62	192	112
63	194	109
64	197	106
65	200	103
66	203	100
67	206	97
68	208	93
69	211	90
70	213	87
71	217	84
72	220	81
73	222	78
74	225	75
75	228	72
76	231	69
77	234	66
78	236	62
79	239	59
80	241	56
81	244	53
82	247	50
83	250	47
84	253	44
85	256	41
86	259	38
87	262	35
88	265	32
89	268	29
90	270	26
91	273	23
92	276	20
93	279	17
94	282	14
95	285	11
96	288	8
97	291	5
98	294	2
99	296	0
